,text_description
1769,有一个Xuhui的public housing，2卧1厅1卫，面积是50平方米，有空调，有阳台，房租价格是8000.0。
1770,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有阳台，有WIFI，有浴缸，房租价格是8000.0。
1771,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有供暖，有空调，有WIFI，房租价格是8000.0。
1772,有一个Xuhui的detached lane house，1卧0厅0卫，面积是25平方米，有室外空间，房租价格是8000.0。
1773,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有WIFI，房租价格是8000.0。
1774,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有室外空间，有供暖，有地暖，房租价格是8000.0。
1775,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有供暖，有空调，有阳台，房租价格是8000.0。
1776,有一个Xuhui的detached lane house，1卧1厅1卫，面积是55平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是8000.0。
1777,有一个Xuhui的attached lane house，2卧1厅1卫，面积是76平方米，有空调，房租价格是8200.0。
1778,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有地暖，房租价格是8200.0。
1779,有一个Xuhui的public housing，2卧0厅1卫，面积是48平方米，有室外空间，有浴缸，房租价格是8200.0。
1780,有一个Xuhui的public housing，2卧1厅1卫，面积是55平方米，有空调，有阳台，房租价格是8200.0。
1781,有一个Xuhui的public housing，2卧2厅1卫，面积是65平方米，有空调，有阳台，房租价格是8200.0。
1782,有一个Xuhui的public housing，2卧1厅1卫，面积是65平方米，有空调，房租价格是8200.0。
1783,有一个Xuhui的public housing，1卧2厅1卫，面积是60平方米，有空调，有阳台，房租价格是8300.0。
1784,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有浴缸，房租价格是8300.0。
1785,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是8300.0。
1786,有一个Xuhui的public housing，3卧1厅3卫，面积是70平方米，有室外空间，有供暖，有空调，有WIFI，有地暖，房租价格是8500.0。
1787,有一个Xuhui的detached lane house，1卧1厅1卫，面积是33平方米，有供暖，有空调，有WIFI，房租价格是8500.0。
1788,有一个Xuhui的public housing，1卧0厅1卫，面积是50平方米，有室外空间，房租价格是8500.0。
1789,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是8500.0。
1790,有一个Xuhui的attached lane house，1卧2厅1卫，面积是52平方米，有空调，有阳台，有WIFI，房租价格是8500.0。
1791,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，房租价格是8500.0。
1792,有一个Xuhui的public housing，2卧1厅1卫，面积是60平方米，有空调，有阳台，房租价格是8500.0。
1793,有一个Xuhui的detached lane house，1卧2厅1卫，面积是65平方米，有室外空间，房租价格是8500.0。
1794,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，房租价格是8500.0。
1795,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有地暖，房租价格是8500.0。
1796,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是8500.0。
1797,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是8500.0。
1798,有一个Xuhui的public housing，1卧1厅1卫，面积是55平方米，有室外空间，房租价格是8500.0。
1799,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有WIFI，房租价格是8500.0。
1800,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有供暖，有空调，有阳台，有WIFI，有浴缸，有地暖，房租价格是8500.0。
1801,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有浴缸，房租价格是8500.0。
1802,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有空调，有WIFI，房租价格是8500.0。
1803,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是8500.0。
1804,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是8500.0。
1805,有一个Xuhui的detached lane house，1卧2厅1卫，面积是70平方米，有空调，有阳台，房租价格是8500.0。
1806,有一个Xuhui的public housing，2卧1厅1卫，面积是45平方米，有空调，有WIFI，房租价格是8500.0。
1807,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是8500.0。
1808,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有空调，房租价格是8500.0。
1809,有一个Xuhui的public housing，1卧2厅1卫，面积是50平方米，有供暖，有空调，房租价格是8500.0。
1810,有一个Xuhui的attached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是8500.0。
1811,有一个Xuhui的detached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有供暖，房租价格是8500.0。
1812,有一个Xuhui的attached lane house，1卧1厅1卫，面积是1平方米，有空调，有阳台，有WIFI，房租价格是8500.0。
1813,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，房租价格是8500.0。
1814,有一个Xuhui的public housing，2卧1厅1卫，面积是80平方米，有空调，房租价格是8500.0。
1815,有一个Xuhui的public housing，1卧1厅1卫，面积是65平方米，有室外空间，有空调，房租价格是8500.0。
1816,有一个Xuhui的attached lane house，1卧1厅1卫，面积是65平方米，有空调，房租价格是8500.0。
1817,有一个Xuhui的attached lane house，1卧2厅1卫，面积是70平方米，有空调，房租价格是8500.0。
1818,有一个Xuhui的detached lane house，1卧0厅1卫，面积是30平方米，有供暖，有空调，房租价格是8500.0。
1819,有一个Xuhui的public housing，1卧2厅1卫，面积是70平方米，有空调，有阳台，房租价格是8500.0。
1820,有一个Xuhui的public housing，1卧2厅1卫，面积是72平方米，有空调，有阳台，有WIFI，房租价格是8500.0。
1821,有一个Xuhui的detached lane house，1卧0厅1卫，面积是40平方米，有室外空间，有空调，有阳台，房租价格是8500.0。
1822,有一个Xuhui的detached lane house，1卧0厅1卫，面积是25平方米，有室外空间，有空调，房租价格是8500.0。
1823,有一个Xuhui的detached lane house，1卧1厅1卫，面积是50平方米，有供暖，有空调，有WIFI，房租价格是8500.0。
1824,有一个Xuhui的detached lane house，1卧2厅1卫，面积是65平方米，有空调，有WIFI，房租价格是8500.0。
1825,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是8500.0。
1826,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有浴缸，房租价格是8600.0。
1827,有一个Xuhui的public housing，2卧1厅1卫，面积是56平方米，有空调，有阳台，有WIFI，房租价格是8600.0。
1828,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有空调，有阳台，有WIFI，房租价格是8600.0。
1829,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有空调，有阳台，房租价格是8600.0。
1830,有一个Xuhui的attached lane house，1卧1厅1卫，面积是60平方米，有室外空间，有空调，房租价格是8600.0。
1831,有一个Xuhui的public housing，1卧1厅1卫，面积是52平方米，有室外空间，有浴缸，房租价格是8700.0。
1832,有一个Xuhui的public housing，1卧1厅1卫，面积是40平方米，有空调，有阳台，房租价格是8800.0。
1833,有一个Xuhui的detached lane house，1卧1厅1卫，面积是40平方米，有空调，房租价格是8800.0。
1834,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有阳台，房租价格是8800.0。
1835,有一个Xuhui的detached lane house，2卧1厅1卫，面积是68平方米，有室外空间，有空调，有阳台，有WIFI，房租价格是8800.0。
1836,有一个Xuhui的detached lane house，1卧2厅1卫，面积是45平方米，有供暖，有地暖，房租价格是8800.0。
1837,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有室外空间，有空调，有地暖，房租价格是8800.0。
1838,有一个Xuhui的detached lane house，1卧1厅1卫，面积是37平方米，有供暖，有空调，有地暖，房租价格是8800.0。
1839,有一个Xuhui的public housing，1卧1厅1卫，面积是45平方米，有室外空间，有供暖，有空调，有阳台，有烤箱，房租价格是8800.0。
1840,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有空调，有阳台，房租价格是8800.0。
1841,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，有空调，房租价格是8800.0。
1842,有一个Xuhui的attached lane house，1卧2厅1卫，面积是60平方米，有供暖，有地暖，房租价格是8800.0。
1843,有一个Xuhui的detached lane house，1卧1厅1卫，面积是48平方米，有空调，房租价格是8800.0。
1844,有一个Xuhui的detached lane house，1卧1厅1卫，面积是38平方米，有室外空间，房租价格是8800.0。
1845,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有室外空间，房租价格是8800.0。
1846,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，有室外空间，有供暖，有空调，有阳台，有地暖，房租价格是8800.0。
1847,有一个Xuhui的attached lane house，1卧2厅1卫，面积是65平方米，有空调，有烤箱，房租价格是8800.0。
1848,有一个Xuhui的public housing，3卧0厅1卫，面积是70平方米，有空调，有阳台，房租价格是8900.0。
1849,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有供暖，有空调，房租价格是8900.0。
1850,有一个Xuhui的detached lane house，1卧0厅1卫，面积是60平方米，有室外空间，有供暖，房租价格是8900.0。
1851,有一个Xuhui的public housing，1卧1厅1卫，面积是50平方米，有供暖，有空调，有WIFI，房租价格是8900.0。
1852,有一个Xuhui的attached lane house，1卧1厅1卫，面积是55平方米，有空调，有阳台，房租价格是9000.0。
1853,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，有空调，房租价格是9000.0。
1854,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有室外空间，房租价格是9000.0。
1855,有一个Xuhui的attached lane house，1卧1厅1卫，面积是50平方米，有室外空间，房租价格是9000.0。
1856,有一个Xuhui的detached lane house，1卧1厅1卫，面积是60平方米，有空调，房租价格是9000.0。
1857,有一个Xuhui的detached lane house，1卧2厅1卫，面积是60平方米，有空调，房租价格是9000.0。
1858,有一个Xuhui的detached lane house，1卧1厅1卫，面积是45平方米，有供暖，有空调，有地暖，房租价格是9000.0。
1859,有一个Xuhui的detached lane house，1卧2厅1卫，面积是80平方米，有室外空间，有空调，房租价格是9000.0。
